sample_ts,zh,zm,sw
2025-06-14T00:45:00,70102300,闸口,4.72
2025-06-14T00:45:00,7010AJ33,渌渚,5.22
2025-06-14T00:45:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:45:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:45:00,7011AJ7R,山溪叶家,50.17
2025-06-14T00:45:00,7011AJ8R,山溪幕下,65.59
2025-06-14T00:45:00,7011AJ9R,山溪前桐,194.12
2025-06-14T00:45:00,7011AM2G,富春江水库严陵坞,23.39
2025-06-14T00:50:00,70101500,富春江电站(坝上),23.33
2025-06-14T00:50:00,70101501,富春江坝下,7.65
2025-06-14T00:50:00,70101800,窄溪,5.17
2025-06-14T00:50:00,70102300,闸口,4.72
2025-06-14T00:50:00,7010AJ33,渌渚,5.22
2025-06-14T00:50:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:50:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:50:00,7011AJ7R,山溪叶家,50.17
2025-06-14T00:50:00,7011AJ8R,山溪幕下,65.6
2025-06-14T00:50:00,7011AJ9R,山溪前桐,194.13
2025-06-14T00:50:00,7011AM2G,富春江水库严陵坞,23.41
2025-06-14T00:55:00,70101500,富春江电站(坝上),23.33
2025-06-14T00:55:00,70101501,富春江坝下,7.65
2025-06-14T00:55:00,70101800,窄溪,5.17
2025-06-14T00:55:00,70102300,闸口,4.72
2025-06-14T00:55:00,7010AJ33,渌渚,5.22
2025-06-14T00:55:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:55:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:55:00,7011AJ7R,山溪叶家,50.17
2025-06-14T00:55:00,7011AJ8R,山溪幕下,65.59
2025-06-14T00:55:00,7011AJ9R,山溪前桐,194.13
2025-06-14T00:55:00,7011AM2G,富春江水库严陵坞,23.41
2025-06-14T01:00:00,70101500,富春江电站(坝上),23.35
2025-06-14T01:00:00,70101501,富春江坝下,7.66
2025-06-14T01:00:00,70101800,窄溪,5.18
2025-06-14T01:00:00,70102300,闸口,4.71
2025-06-14T01:00:00,7010AJ33,渌渚,5.22
2025-06-14T01:00:00,7011AJ4M,新桐乡,5.1
2025-06-14T01:00:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:00:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:00:00,7011AJ8R,山溪幕下,65.6
2025-06-14T01:00:00,7011AJ9R,山溪前桐,194.12
2025-06-14T01:00:00,7011AM2G,富春江水库严陵坞,23.42
2025-06-14T01:05:00,70101500,富春江电站(坝上),23.34
2025-06-14T01:05:00,70101501,富春江坝下,7.63
2025-06-14T01:05:00,70101800,窄溪,5.17
2025-06-14T01:05:00,70102300,闸口,4.71
2025-06-14T01:05:00,7010AJ33,渌渚,5.22
2025-06-14T01:05:00,7011AJ4M,新桐乡,5.1
2025-06-14T01:05:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:05:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:05:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:05:00,7011AJ9R,山溪前桐,194.13
2025-06-14T01:05:00,7011AM2G,富春江水库严陵坞,23.43
2025-06-14T01:10:00,70101500,富春江电站(坝上),23.36
2025-06-14T01:10:00,70101501,富春江坝下,7.64
2025-06-14T01:10:00,70101800,窄溪,5.18
2025-06-14T01:10:00,70102300,闸口,4.71
2025-06-14T01:10:00,7010AJ33,渌渚,5.22
2025-06-14T01:10:00,7011AJ4M,新桐乡,5.11
2025-06-14T01:10:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:10:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:10:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:10:00,7011AJ9R,山溪前桐,194.13
2025-06-14T01:10:00,7011AM2G,富春江水库严陵坞,23.43
2025-06-14T01:15:00,70101500,富春江电站(坝上),23.35
2025-06-14T01:15:00,70101501,富春江坝下,7.65
2025-06-14T01:15:00,70101800,窄溪,5.17
2025-06-14T01:15:00,70102300,闸口,4.71
2025-06-14T01:15:00,7010AJ33,渌渚,5.22
2025-06-14T01:15:00,7011AJ4M,新桐乡,5.11
2025-06-14T01:15:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:15:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:15:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:15:00,7011AJ9R,山溪前桐,194.1
2025-06-14T01:15:00,7011AM2G,富春江水库严陵坞,23.43
2025-06-14T01:20:00,70101500,富春江电站(坝上),23.35
2025-06-14T01:20:00,70101501,富春江坝下,7.65
2025-06-14T01:20:00,70101800,窄溪,5.17
2025-06-14T01:20:00,70102300,闸口,4.71
2025-06-14T01:20:00,7010AJ33,渌渚,5.22
2025-06-14T01:20:00,7011AJ4M,新桐乡,5.1
2025-06-14T01:20:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:20:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:20:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:20:00,7011AJ9R,山溪前桐,194.13
2025-06-14T01:20:00,7011AM2G,富春江水库严陵坞,23.43
2025-06-14T01:25:00,70101500,富春江电站(坝上),23.34
2025-06-14T01:25:00,70101501,富春江坝下,7.65
2025-06-14T01:25:00,70101800,窄溪,5.17
2025-06-14T01:25:00,70102300,闸口,4.71
2025-06-14T01:25:00,7010AJ33,渌渚,5.22
2025-06-14T01:25:00,7011AJ4M,新桐乡,5.1
2025-06-14T01:25:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:25:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:25:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:25:00,7011AJ9R,山溪前桐,194.12
2025-06-14T01:25:00,7011AM2G,富春江水库严陵坞,23.42
2025-06-14T01:30:00,70101500,富春江电站(坝上),23.33
2025-06-14T01:30:00,70101501,富春江坝下,7.64
2025-06-14T01:30:00,70101800,窄溪,5.17
2025-06-14T01:30:00,70102300,闸口,4.71
2025-06-14T01:30:00,7010AJ33,渌渚,5.22
2025-06-14T01:30:00,7011AJ4M,新桐乡,5.1
2025-06-14T01:30:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:30:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:30:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:30:00,7011AJ9R,山溪前桐,194.13
2025-06-14T01:30:00,7011AM2G,富春江水库严陵坞,23.41
2025-06-14T01:35:00,70101500,富春江电站(坝上),23.32
2025-06-14T01:35:00,70101501,富春江坝下,7.64
2025-06-14T01:35:00,70101800,窄溪,5.17
2025-06-14T01:35:00,70102300,闸口,4.7
2025-06-14T01:35:00,7010AJ33,渌渚,5.22
2025-06-14T01:35:00,7011AJ4M,新桐乡,5.1
2025-06-14T01:35:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:35:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:35:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:35:00,7011AJ9R,山溪前桐,194.12
2025-06-14T01:35:00,7011AM2G,富春江水库严陵坞,23.4
2025-06-14T01:40:00,70101500,富春江电站(坝上),23.31
2025-06-14T01:40:00,70101501,富春江坝下,7.65
2025-06-14T01:40:00,70101800,窄溪,5.17
2025-06-14T01:40:00,70102300,闸口,4.7
2025-06-14T01:40:00,7010AJ33,渌渚,5.22
2025-06-14T01:40:00,7011AJ4M,新桐乡,5.09
2025-06-14T01:40:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:40:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:40:00,7011AJ8R,山溪幕下,65.6
2025-06-14T01:40:00,7011AJ9R,山溪前桐,194.12
2025-06-14T01:40:00,7011AM2G,富春江水库严陵坞,23.39
2025-06-14T01:45:00,70101500,富春江电站(坝上),23.29
2025-06-14T01:45:00,70101501,富春江坝下,7.65
2025-06-14T01:45:00,70101800,窄溪,5.17
2025-06-14T01:45:00,70102300,闸口,4.7
2025-06-14T01:45:00,7010AJ33,渌渚,5.22
2025-06-14T01:45:00,7011AJ4M,新桐乡,5.09
2025-06-14T01:45:00,7011AJ5M,渌渚镇,6.54
2025-06-14T01:45:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:45:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:45:00,7011AJ9R,山溪前桐,194.12
2025-06-14T01:45:00,7011AM2G,富春江水库严陵坞,23.38
2025-06-14T01:50:00,70101500,富春江电站(坝上),23.27
2025-06-14T01:50:00,70101501,富春江坝下,7.65
2025-06-14T01:50:00,70101800,窄溪,5.17
2025-06-14T01:50:00,70102300,闸口,4.69
2025-06-14T01:50:00,7010AJ33,渌渚,5.22
2025-06-14T01:50:00,7011AJ4M,新桐乡,5.09
2025-06-14T01:50:00,7011AJ5M,渌渚镇,6.53
2025-06-14T01:50:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:50:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:50:00,7011AJ9R,山溪前桐,194.12
2025-06-14T01:50:00,7011AM2G,富春江水库严陵坞,23.36
2025-06-14T01:55:00,70101500,富春江电站(坝上),23.25
2025-06-14T01:55:00,70101501,富春江坝下,7.69
2025-06-14T01:55:00,70101800,窄溪,5.17
2025-06-14T01:55:00,70102300,闸口,4.69
2025-06-14T01:55:00,7010AJ33,渌渚,5.22
2025-06-14T01:55:00,7011AJ4M,新桐乡,5.1
2025-06-14T01:55:00,7011AJ5M,渌渚镇,6.53
2025-06-14T01:55:00,7011AJ7R,山溪叶家,50.17
2025-06-14T01:55:00,7011AJ8R,山溪幕下,65.59
2025-06-14T01:55:00,7011AJ9R,山溪前桐,194.13
2025-06-14T01:55:00,7011AM2G,富春江水库严陵坞,23.35
2025-06-14T02:00:00,70101500,富春江电站(坝上),23.25
2025-06-14T02:00:00,70101501,富春江坝下,7.71
2025-06-14T02:00:00,70101800,窄溪,5.17
2025-06-14T02:00:00,70102300,闸口,4.69
2025-06-14T02:00:00,7010AJ33,渌渚,5.2
2025-06-14T02:00:00,7011AJ4M,新桐乡,5.1
2025-06-14T02:00:00,7011AJ5M,渌渚镇,6.53
2025-06-14T02:00:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:00:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:00:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:00:00,7011AM2G,富春江水库严陵坞,23.33
2025-06-14T02:05:00,70101500,富春江电站(坝上),23.23
2025-06-14T02:05:00,70101501,富春江坝下,7.69
2025-06-14T02:05:00,70101800,窄溪,5.17
2025-06-14T02:05:00,70102300,闸口,4.69
2025-06-14T02:05:00,7010AJ33,渌渚,5.2
2025-06-14T02:05:00,7011AJ4M,新桐乡,5.09
2025-06-14T02:05:00,7011AJ5M,渌渚镇,6.53
2025-06-14T02:05:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:05:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:05:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:05:00,7011AM2G,富春江水库严陵坞,23.33
2025-06-14T02:10:00,70101500,富春江电站(坝上),23.22
2025-06-14T02:10:00,70101501,富春江坝下,7.69
2025-06-14T02:10:00,70101800,窄溪,5.17
2025-06-14T02:10:00,70102300,闸口,4.69
2025-06-14T02:10:00,7010AJ33,渌渚,5.2
2025-06-14T02:10:00,7011AJ4M,新桐乡,5.08
2025-06-14T02:10:00,7011AJ5M,渌渚镇,6.53
2025-06-14T02:10:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:10:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:10:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:10:00,7011AM2G,富春江水库严陵坞,23.31
2025-06-14T02:15:00,70101500,富春江电站(坝上),23.21
2025-06-14T02:15:00,70101501,富春江坝下,7.72
2025-06-14T02:15:00,70101800,窄溪,5.17
2025-06-14T02:15:00,70102300,闸口,4.69
2025-06-14T02:15:00,7010AJ33,渌渚,5.2
2025-06-14T02:15:00,7011AJ4M,新桐乡,5.08
2025-06-14T02:15:00,7011AJ5M,渌渚镇,6.53
2025-06-14T02:15:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:15:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:15:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:15:00,7011AM2G,富春江水库严陵坞,23.3
2025-06-14T02:20:00,70101500,富春江电站(坝上),23.2
2025-06-14T02:20:00,70101501,富春江坝下,7.73
2025-06-14T02:20:00,70101800,窄溪,5.17
2025-06-14T02:20:00,70102300,闸口,4.68
2025-06-14T02:20:00,7010AJ33,渌渚,5.2
2025-06-14T02:20:00,7011AJ4M,新桐乡,5.09
2025-06-14T02:20:00,7011AJ5M,渌渚镇,6.53
2025-06-14T02:20:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:20:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:20:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:20:00,7011AM2G,富春江水库严陵坞,23.29
2025-06-14T02:25:00,70101500,富春江电站(坝上),23.19
2025-06-14T02:25:00,70101501,富春江坝下,7.73
2025-06-14T02:25:00,70101800,窄溪,5.17
2025-06-14T02:25:00,70102300,闸口,4.68
2025-06-14T02:25:00,7010AJ33,渌渚,5.22
2025-06-14T02:25:00,7011AJ4M,新桐乡,5.09
2025-06-14T02:25:00,7011AJ5M,渌渚镇,6.53
2025-06-14T02:25:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:25:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:25:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:25:00,7011AM2G,富春江水库严陵坞,23.29
2025-06-14T02:30:00,70101500,富春江电站(坝上),23.19
2025-06-14T02:30:00,70101501,富春江坝下,7.75
2025-06-14T02:30:00,70102300,闸口,4.68
2025-06-14T02:30:00,7011AJ4M,新桐乡,5.09
2025-06-14T02:35:00,70101500,富春江电站(坝上),23.2
2025-06-14T02:35:00,70101501,富春江坝下,7.76
2025-06-14T02:35:00,70101800,窄溪,5.17
2025-06-14T02:35:00,70102300,闸口,4.68
2025-06-14T02:35:00,7010AJ33,渌渚,5.2
2025-06-14T02:35:00,7011AJ4M,新桐乡,5.08
2025-06-14T02:35:00,7011AJ5M,渌渚镇,6.52
2025-06-14T02:35:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:35:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:35:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:35:00,7011AM2G,富春江水库严陵坞,23.28
2025-06-14T02:40:00,70101500,富春江电站(坝上),23.2
2025-06-14T02:40:00,70101501,富春江坝下,7.76
2025-06-14T02:40:00,70101800,窄溪,5.17
2025-06-14T02:40:00,70102300,闸口,4.68
2025-06-14T02:40:00,7010AJ33,渌渚,5.2
2025-06-14T02:40:00,7011AJ4M,新桐乡,5.08
2025-06-14T02:40:00,7011AJ5M,渌渚镇,6.52
2025-06-14T02:40:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:40:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:40:00,7011AJ9R,山溪前桐,194.13
2025-06-14T02:40:00,7011AM2G,富春江水库严陵坞,23.28
2025-06-14T02:45:00,70101500,富春江电站(坝上),23.2
2025-06-14T02:45:00,70101501,富春江坝下,7.76
2025-06-14T02:45:00,70101800,窄溪,5.17
2025-06-14T02:45:00,70102300,闸口,4.68
2025-06-14T02:45:00,7010AJ33,渌渚,5.2
2025-06-14T02:45:00,7011AJ4M,新桐乡,5.08
2025-06-14T02:45:00,7011AJ5M,渌渚镇,6.52
2025-06-14T02:45:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:45:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:45:00,7011AJ9R,山溪前桐,194.12
2025-06-14T02:45:00,7011AM2G,富春江水库严陵坞,23.28
2025-06-14T02:50:00,70101500,富春江电站(坝上),23.2
2025-06-14T02:50:00,70101501,富春江坝下,7.75
2025-06-14T02:50:00,70101800,窄溪,5.17
2025-06-14T02:50:00,70102300,闸口,4.68
2025-06-14T02:50:00,7010AJ33,渌渚,5.22
2025-06-14T02:50:00,7011AJ4M,新桐乡,5.09
2025-06-14T02:50:00,7011AJ5M,渌渚镇,6.51
2025-06-14T02:50:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:50:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:50:00,7011AJ9R,山溪前桐,194.13
2025-06-14T02:50:00,7011AM2G,富春江水库严陵坞,23.29
2025-06-14T02:55:00,70101500,富春江电站(坝上),23.21
2025-06-14T02:55:00,70101501,富春江坝下,7.73
2025-06-14T02:55:00,70101800,窄溪,5.17
2025-06-14T02:55:00,70102300,闸口,4.68
2025-06-14T02:55:00,7010AJ33,渌渚,5.22
2025-06-14T02:55:00,7011AJ4M,新桐乡,5.09
2025-06-14T02:55:00,7011AJ5M,渌渚镇,6.51
2025-06-14T02:55:00,7011AJ7R,山溪叶家,50.17
2025-06-14T02:55:00,7011AJ8R,山溪幕下,65.59
2025-06-14T02:55:00,7011AJ9R,山溪前桐,194.13
2025-06-14T02:55:00,7011AM2G,富春江水库严陵坞,23.29
2025-06-14T03:00:00,70101500,富春江电站(坝上),23.22
2025-06-14T03:00:00,70101501,富春江坝下,7.76
2025-06-14T03:00:00,70101800,窄溪,5.17
2025-06-14T03:00:00,70102300,闸口,4.68
2025-06-14T03:00:00,7010AJ33,渌渚,5.22
2025-06-14T03:00:00,7011AJ4M,新桐乡,5.09
2025-06-14T03:00:00,7011AJ5M,渌渚镇,6.51
2025-06-14T03:00:00,7011AJ7R,山溪叶家,50.17
2025-06-14T03:00:00,7011AJ8R,山溪幕下,65.59
2025-06-14T03:00:00,7011AJ9R,山溪前桐,194.12
2025-06-14T03:00:00,7011AM2G,富春江水库严陵坞,23.3
2025-06-14T03:05:00,70101500,富春江电站(坝上),23.23
2025-06-14T03:05:00,70101501,富春江坝下,7.76
2025-06-14T03:05:00,70101800,窄溪,5.17
2025-06-14T03:05:00,70102300,闸口,4.67
2025-06-14T03:05:00,7010AJ33,渌渚,5.22
2025-06-14T03:05:00,7011AJ4M,新桐乡,5.09
2025-06-14T03:05:00,7011AJ5M,渌渚镇,6.51
2025-06-14T03:05:00,7011AJ7R,山溪叶家,50.17
2025-06-14T03:05:00,7011AJ8R,山溪幕下,65.59
2025-06-14T03:05:00,7011AJ9R,山溪前桐,194.12
2025-06-14T03:05:00,7011AM2G,富春江水库严陵坞,23.31
2025-06-14T03:10:00,70101500,富春江电站(坝上),23.24
2025-06-14T03:10:00,70101501,富春江坝下,7.78
2025-06-14T03:10:00,70101800,窄溪,5.17
2025-06-14T03:10:00,70102300,闸口,4.67
2025-06-14T03:10:00,7010AJ33,渌渚,5.22
2025-06-14T03:10:00,7011AJ4M,新桐乡,5.09
2025-06-14T03:10:00,7011AJ5M,渌渚镇,6.51
2025-06-14T03:10:00,7011AJ7R,山溪叶家,50.17
2025-06-14T03:10:00,7011AJ8R,山溪幕下,65.59
2025-06-14T03:10:00,7011AJ9R,山溪前桐,194.13
2025-06-14T03:10:00,7011AM2G,富春江水库严陵坞,23.31
2025-06-14T03:15:00,70101500,富春江电站(坝上),23.25
2025-06-14T03:15:00,70101501,富春江坝下,7.76
2025-06-14T03:15:00,70101800,窄溪,5.17
2025-06-14T03:15:00,70102300,闸口,4.67
2025-06-14T03:15:00,7010AJ33,渌渚,5.22
2025-06-14T03:15:00,7011AJ4M,新桐乡,5.09
2025-06-14T03:15:00,7011AJ5M,渌渚镇,6.51
2025-06-14T03:15:00,7011AJ7R,山溪叶家,50.17
2025-06-14T03:15:00,7011AJ8R,山溪幕下,65.59
2025-06-14T03:15:00,7011AJ9R,山溪前桐,194.12
2025-06-14T03:15:00,7011AM2G,富春江水库严陵坞,23.32
2025-06-14T03:20:00,70101500,富春江电站(坝上),23.22
2025-06-14T03:20:00,70101501,富春江坝下,7.77
2025-06-14T03:20:00,70101800,窄溪,5.17
2025-06-14T03:20:00,70102300,闸口,4.67
2025-06-14T03:20:00,7010AJ33,渌渚,5.22
2025-06-14T03:20:00,7011AJ4M,新桐乡,5.09
2025-06-14T03:20:00,7011AJ5M,渌渚镇,6.51
2025-06-14T03:20:00,7011AJ7R,山溪叶家,50.17
2025-06-14T03:20:00,7011AJ8R,山溪幕下,65.59
2025-06-14T03:20:00,7011AJ9R,山溪前桐,194.13
2025-06-14T03:20:00,7011AM2G,富春江水库严陵坞,23.33
2025-06-14T03:25:00,70101500,富春江电站(坝上),23.23
2025-06-14T03:25:00,70101501,富春江坝下,7.77
2025-06-14T03:25:00,70101800,窄溪,5.18
2025-06-14T03:25:00,70102300,闸口,4.67
2025-06-14T03:25:00,7010AJ33,渌渚,5.22
2025-06-14T03:25:00,7011AJ4M,新桐乡,5.09
2025-06-14T03:25:00,7011AJ5M,渌渚镇,6.51
2025-06-14T03:25:00,7011AJ7R,山溪叶家,50.17
2025-06-14T03:25:00,7011AJ8R,山溪幕下,65.59
2025-06-14T03:25:00,7011AJ9R,山溪前桐,194.12
2025-06-14T03:25:00,7011AM2G,富春江水库严陵坞,23.32
2025-06-14T03:30:00,70101500,富春江电站(坝上),23.23
2025-06-14T03:30:00,70101501,富春江坝下,7.76
2025-06-14T03:30:00,70101800,窄溪,5.17
2025-06-14T03:30:00,70102300,闸口,4.67
2025-06-14T03:30:00,7010AJ33,渌渚,5.22
2025-06-14T03:30:00,7011AJ4M,新桐乡,5.08
2025-06-14T03:30:00,7011AJ5M,渌渚镇,6.51
2025-06-14T03:30:00,7011AJ7R,山溪叶家,50.17
2025-06-14T03:30:00,7011AJ8R,山溪幕下,65.59
2025-06-14T03:30:00,7011AJ9R,山溪前桐,194.13
2025-06-14T03:30:00,7011AM2G,富春江水库严陵坞,23.33
2025-06-14T03:35:00,70101500,富春江电站(坝上),23.25
2025-06-14T03:35:00,70101501,富春江坝下,7.76
2025-06-14T03:35:00,70101800,窄溪,5.17
2025-06-14T03:35:00,70102300,闸口,4.66
2025-06-14T03:35:00,7010AJ33,渌渚,5.22
2025-06-14T03:35:00,7011AJ4M,新桐乡,5.08
2025-06-14T03:35:00,7011AJ5M,渌渚镇,6.5
